  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      94	   1.995	  -2.000	205.9309	28.877369	-13.92217	21.71823	21.186696	206.7939	-14.921493	-1.29726	-29.98024	 5.03132	28.373901	14.921493	205.930850	 1.30664	-34.59668	 5.07957	    3.38	    1.78	   24.52	    0.22	   -0.68	    0.85	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      95	   1.995	  -9.995	220.6858	43.218885	-59.45693	-20.34665	24.540190	221.6746	-66.055709	-13.75565	-75.76530	14.22634	32.243471	66.055709	220.685797	-2.50411	-81.01132	14.71420	    3.84	    7.87	   26.28	   -0.42	   -1.59	    2.45	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      96	   1.995	   9.995	223.8197	39.399458	76.29153	-30.78166	17.751815	224.5740	81.971908	16.87472	-86.92515	-19.92625	25.560159	-81.971908	223.819731	 2.83303	-91.08379	-20.52623	    3.04	   -9.76	   26.65	    0.47	   -1.79	   -3.42	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      97	   1.995	   4.005	207.7567	26.777498	34.95213	 6.88483	17.022638	208.4758	36.737013	 5.39316	-45.23411	-11.37058	24.270926	-36.737013	207.756682	-0.98360	-49.18299	-11.56537	    2.89	   -4.37	   24.74	   -0.16	   -0.97	   -1.93	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      98	   1.995	  -6.000	217.4408	31.121846	-23.59895	-14.00561	20.896578	218.3007	-26.722787	-6.66012	-68.58078	 5.30934	28.484596	26.722787	217.440756	-2.12320	-73.21522	 5.54459	    3.39	    3.18	   25.89	   -0.35	   -1.44	    0.92	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      99	   1.995	   2.000	208.0904	23.693025	25.19934	15.01253	15.540132	208.7581	26.010859	 3.26554	-37.17699	-8.78581	22.799147	-26.010859	208.090425	-1.27468	-40.88641	-8.90491	    2.72	   -3.10	   24.78	   -0.21	   -0.80	   -1.48	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
     100	   1.995	   6.005	215.4501	27.062904	73.73579	 4.11430	11.687435	215.9880	76.162381	 8.12688	-49.88270	-21.88902	19.200515	-76.162381	215.450124	-5.03272	-53.00662	-22.18543	    2.29	   -9.07	   25.66	   -0.84	   -1.04	   -3.70	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
     101	   1.995	  -4.000	209.8125	24.524196	-37.06709	 9.98849	14.560371	210.4471	-38.687515	-3.24258	-42.62327	10.18597	21.878787	38.687515	209.812504	 3.40892	-46.18295	10.30511	    2.61	    4.61	   24.98	    0.57	   -0.91	    1.72	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
     102	   1.995	 -10.005	223.4721	37.438670	-60.37920	-28.52816	18.582662	224.2551	-65.965359	-14.12124	-84.59192	13.20145	26.379399	65.965359	223.472090	-2.91991	-88.88385	13.70142	    3.14	    7.86	   26.61	   -0.49	   -1.75	    2.28	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
     103	   1.995	  -2.000	208.8542	23.556220	-13.22535	15.95831	15.794535	209.5312	-14.039396	-1.48863	-36.42448	 4.04763	23.080312	14.039396	208.854183	 0.93759	-40.17964	 4.10194	    2.75	    1.67	   24.87	    0.16	   -0.79	    0.68	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
     104	   1.995	   0.000	206.5810	23.876004	 7.39451	15.50869	16.668889	207.2871	7.394511	 0.98619	-36.31309	-2.02874	23.876004	-7.394511	206.581045	-0.28822	-40.19771	-2.06433	    2.84	   -0.88	   24.60	   -0.05	   -0.79	   -0.34	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
     105	   1.995	  -6.000	877.4006	84.794241	-259.74627	-3.52470	26.595271	878.8595	-267.186768	-24.33513	-223.23957	67.75604	57.178850	267.186768	877.400630	21.51289	-232.54257	68.64495	    6.81	   31.82	  104.48	    3.59	   -4.57	   11.44	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
     106	   1.995	   6.000	855.5779	88.076712	299.46538	 7.04110	26.468334	857.0191	307.031404	35.44410	-207.21368	-88.80554	56.291562	-307.031404	855.577910	-17.62716	-216.37232	-90.09424	    6.70	  -36.56	  101.88	   -2.94	   -4.25	  -15.02	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
     107	   1.995	  10.000	913.6468	114.604318	472.73222	-64.40736	-1.055439	914.1643	485.451186	61.06717	-292.94844	-127.42726	30.774132	-485.451186	913.646800	-22.39489	-297.95539	-129.63206	    3.67	  -57.81	  108.80	   -3.73	   -5.85	  -21.61	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
     108	   1.995	   4.000	851.5778	80.194413	189.06121	21.92472	37.120489	853.3876	194.194750	25.41107	-191.42219	-59.63023	66.810820	-194.194750	851.577780	-8.27854	-202.29231	-60.55169	    7.96	  -23.12	  101.41	   -1.38	   -3.97	  -10.09	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
     109	   1.995	  -4.000	855.7712	77.499380	-152.13489	13.52337	36.861933	857.5746	-157.170384	-15.89425	-200.87029	40.30833	66.698202	157.170384	855.771225	11.09216	-211.72208	40.88652	    7.94	   18.72	  101.90	    1.85	   -4.16	    6.82	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
     110	   1.995	  -9.995	914.9367	103.758688	-445.86438	-39.96552	-7.072146	915.2454	-457.106041	-47.81227	-268.77687	109.43778	24.798714	457.106041	914.936715	30.40288	-272.81162	111.16989	    2.95	   54.43	  108.95	    5.07	   -5.36	   18.53	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
     111	   1.995	  -2.000	839.6464	74.863321	-58.68690	53.80863	43.491049	841.6710	-61.263839	-5.84914	-156.60912	17.32230	72.769573	61.263839	839.646431	 4.72589	-168.44873	17.53658	    8.67	    7.30	   99.98	    0.79	   -3.31	    2.92	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
     112	   1.995	   2.000	838.4445	74.118445	97.13929	47.69413	41.447771	840.3972	99.666809	14.29322	-162.40516	-33.81530	70.683182	-99.666809	838.444517	-3.11004	-173.90531	-34.33377	    8.42	  -11.87	   99.84	   -0.52	   -3.42	   -5.72	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
     113	   1.995	   0.005	834.1429	71.895252	28.58606	56.02899	42.806385	836.1402	28.592336	 4.92859	-153.00607	-7.43436	71.892757	-28.592336	834.142864	 0.01447	-164.70302	-7.61057	    8.56	   -3.40	   99.33	    0.00	   -3.24	   -1.27	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
