  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      17	   1.995	  -0.005	205.5474	28.580321	-0.30255	22.19536	21.408117	206.4177	-0.305048	-0.81975	-29.40906	 2.03320	28.580294	0.305048	205.547396	-0.69876	-34.05907	 2.06298	    3.40	    0.04	   24.48	   -0.12	   -0.67	    0.34	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      18	   1.995	  -1.995	838.7817	99.615918	-93.24223	74.50012	67.054218	841.6258	-96.653567	-13.26532	-135.90634	34.77571	96.309563	96.653567	838.781722	 3.68023	-151.57590	35.25882	   11.47	   11.51	   99.88	    0.61	   -2.98	    5.88	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      19	   1.995	   4.000	204.7552	29.019979	38.64916	21.28468	19.110067	205.5450	40.579343	 3.33398	-30.10157	-11.12947	26.253259	-40.579343	204.755214	-3.65817	-34.37297	-11.25235	    3.13	   -4.83	   24.38	   -0.61	   -0.68	   -1.88	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      20	   1.995	  -2.000	209.9990	23.230626	-21.55315	12.12030	15.140853	210.6537	-22.350762	-3.34852	-40.54314	 7.25875	22.464280	22.350762	209.999040	 0.54296	-44.19808	 7.37978	    2.68	    2.66	   25.01	    0.09	   -0.87	    1.23	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      21	   1.995	  -2.000	209.0572	23.796153	-21.47155	13.07090	15.741324	209.7322	-22.288943	-3.28657	-39.36216	 7.37293	23.032311	22.288943	209.057191	 0.59879	-43.10951	 7.49187	    2.74	    2.65	   24.89	    0.10	   -0.85	    1.25	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      22	   1.995	  -2.000	208.6910	23.683747	-21.41707	13.23529	15.643702	209.3624	-22.230578	-3.31540	-39.10530	 7.35550	22.921874	22.230578	208.690958	 0.55988	-42.83469	 7.47543	    2.73	    2.65	   24.85	    0.09	   -0.84	    1.25	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      23	   1.995	   6.005	856.9999	84.583444	265.21777	10.16748	26.508193	858.4429	272.611181	26.72841	-204.44324	-74.64805	56.373491	-272.611181	856.999943	-20.24321	-213.61521	-75.62426	    6.71	  -32.46	  102.05	   -3.37	   -4.20	  -12.61	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      24	   1.995	   9.995	222.5888	37.684432	68.33204	-28.89654	17.489279	223.3329	73.835550	14.69314	-84.72977	-16.71317	25.252631	-73.835550	222.588802	 2.08871	-88.83837	-17.23507	    3.01	   -8.79	   26.51	    0.35	   -1.75	   -2.87	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      25	   1.995	  -5.995	879.2954	87.099768	-295.10465	-7.24074	25.161167	880.7049	-302.587571	-32.88719	-227.41697	82.22225	55.802197	302.587571	879.295402	19.22929	-236.49599	83.41757	    6.65	   36.03	  104.71	    3.21	   -4.65	   13.91	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      26	   1.995	  -2.005	845.0969	74.511396	-91.84804	47.65518	41.792333	847.0650	-94.398719	-13.79421	-164.11107	30.08966	71.252318	94.398719	845.096919	 2.62148	-175.70382	30.58836	    8.49	   11.24	  100.63	    0.44	   -3.45	    5.10	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      27	   1.995	   6.005	214.5227	25.960666	65.57764	 6.21271	11.479028	215.0526	67.933686	 6.02360	-47.55043	-18.70231	18.957792	-67.933686	214.522677	-5.68466	-50.63487	-18.92345	    2.26	   -8.09	   25.55	   -0.95	   -0.99	   -3.15	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      28	   1.995	   4.000	854.4873	77.702020	156.78766	21.96972	36.791770	856.2869	161.825957	17.29301	-192.10199	-45.90553	66.575787	-161.825957	854.487263	-10.64642	-202.93387	-46.53568	    7.93	  -19.27	  101.75	   -1.77	   -3.99	   -7.76	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      29	   1.995	 -10.005	224.1777	38.632084	-70.85079	-27.79006	17.916440	224.9377	-76.485043	-16.67814	-84.02447	17.43440	25.735391	76.485043	224.177691	-3.61630	-88.21162	18.02587	    3.07	    9.11	   26.70	   -0.60	   -1.73	    3.01	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      30	   1.995	  10.000	914.3593	108.732989	440.01881	-55.90732	-1.173706	914.8728	452.215221	52.41419	-284.62553	-113.55979	30.672626	-452.215221	914.359271	-25.15070	-289.61597	-115.45423	    3.65	  -53.85	  108.88	   -4.19	   -5.69	  -19.25	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      31	   1.995	  -4.000	859.2088	78.449621	-184.68038	11.49962	35.428229	860.9638	-189.702879	-24.11293	-203.74132	53.74902	65.375870	189.702879	859.208793	 8.63956	-214.37797	54.62147	    7.79	   22.59	  102.31	    1.44	   -4.21	    9.11	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      32	   1.995	  -6.005	217.1452	31.422135	-34.66993	-13.81170	20.047410	217.9751	-37.766922	-9.25361	-68.30547	 9.72011	27.622711	37.766922	217.145155	-2.76456	-72.79968	10.04831	    3.29	    4.50	   25.86	   -0.46	   -1.43	    1.68	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      33	   1.995	   1.995	843.1675	72.601708	61.29283	41.26696	41.031635	845.1079	63.783108	 6.01462	-170.01003	-20.01760	70.423958	-63.783108	843.167544	-5.06417	-181.46801	-20.23922	    8.39	   -7.60	  100.40	   -0.84	   -3.57	   -3.37	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      34	   1.995	   0.000	840.0856	71.217769	-3.68043	49.72939	41.932243	842.0555	-3.680431	-3.10354	-160.78449	 5.84511	71.217769	3.680431	840.085594	-2.29914	-172.37162	 5.95675	    8.48	    0.44	  100.04	   -0.38	   -3.39	    0.99	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      35	   1.995	   0.000	858.5484	4.948115	-4.38835	-20.29970	-24.939917	858.2003	-4.388350	-3.02279	-234.84977	 6.05719	4.948115	4.388350	858.548353	-2.09588	-235.65483	 6.16615	    0.59	    0.52	  102.24	   -0.35	   -4.63	    1.03	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      36	   1.995	   0.000	870.1775	-59.732249	-1.64143	-76.52353	-89.985881	867.5710	-1.641426	-2.81615	-293.41627	 5.99081	-59.732249	1.641426	870.177495	-2.33859	-283.69783	 6.09253	   -7.11	    0.20	  103.62	   -0.39	   -5.57	    1.02	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      37	   1.995	   1.995	206.8371	23.228409	16.86481	14.41825	15.413765	207.4994	17.663221	 1.09788	-37.45659	-5.45652	22.627227	-17.663221	206.837074	-1.96675	-41.13804	-5.49807	    2.70	   -2.10	   24.63	   -0.33	   -0.81	   -0.92	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      38	   1.995	 -10.000	920.5417	108.345274	-481.18687	-48.02047	-8.914930	920.7894	-492.690524	-56.71389	-278.21782	123.89846	23.142042	492.690524	920.541700	27.79926	-281.98303	125.94893	    2.76	   58.67	  109.62	    4.63	   -5.54	   21.00	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      39	   1.995	  -4.005	209.0077	23.706435	-45.70619	12.73672	13.168558	209.5931	-47.250312	-5.90374	-39.66156	13.60836	20.456261	47.250312	209.007719	 2.26174	-42.98979	13.82224	    2.44	    5.63	   24.89	    0.38	   -0.84	    2.30	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
      40	   1.995	   3.995	206.8074	24.112072	39.63902	13.27337	14.080236	207.4232	41.222574	 3.24238	-38.58244	-11.98435	21.291856	-41.222574	206.807416	-3.88417	-42.04662	-12.10455	    2.54	   -4.91	   24.63	   -0.65	   -0.83	   -2.02	    0.00	    0.00	    0.00	   0.000	     0.5	     Inf	NaN	     Inf
